ItemID_DE;ItemNoDE;EAN;ParentNo;ItemNameDE;RemarkDE/EN;Sales_Price_EUR;Is_StockItem;StockQtyEU;MSQ_EU;is_dim_weight_estimated;weight(g);length(mm);width(mm);height(mm);is_active;Überverkäufe möglich;Stückzahl teilbar;Versandgewicht(kg);Length;Breite;Höhe;TARIC-Code
11739;6,2348E+12;6234796563966;V002-TMT;Zahnriemen HTD3M-15-201;;3,63;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11738;6,23482E+12;6234822919095;V002-TMT;Zahnriemen HTD3M-6-201;;2,05;Y;0;0;1;0;90;80;6;Y;Y;N;0;9;8;0,6;4010390090
11737;6,23769E+12;6237686148397;V002-TMT;Zahnriemen HTD3M-15-198;;3,68;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11736;6,23864E+12;6238636027373;V002-TMT;Zahnriemen HTD3M-10-198;;2,86;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11735;6,2385E+12;6238500032236;V002-TMT;Zahnriemen HTD3M-15-195;;3,68;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11734;6,23882E+12;6238815258314;V002-TMT;Zahnriemen HTD3M-15-192;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11733;6,23549E+12;6235493046523;V002-TMT;Zahnriemen HTD3M-10-192;;2,55;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11732;6,23301E+12;6233012636156;V002-TMT;Zahnriemen HTD3M-15-189;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11731;6,23546E+12;6235463416387;V002-TMT;Zahnriemen HTD3M-10-189;;2,55;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
11730;6,23168E+12;6231680280374;V002-TMT;Zahnriemen HTD3M-15-186;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11729;6,23577E+12;6235770156280;V002-TMT;Zahnriemen HTD3M-10-186;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11728;6,23176E+12;6231755873425;V002-TMT;Zahnriemen HTD3M-15-183;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11727;6,23017E+12;6230169982921;V002-TMT;Zahnriemen HTD3M-15-177;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11726;6,23085E+12;6230848969205;V002-TMT;Zahnriemen HTD3M-10-177;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11725;6,23376E+12;6233756861258;V002-TMT;Zahnriemen HTD3M-15-174;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11724;6,23711E+12;6237106521830;V002-TMT;Zahnriemen HTD3M-10-174;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11723;6,2348E+12;6234800502721;V002-TMT;Zahnriemen HTD3M-15-171;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11722;6,23261E+12;6232609526160;V002-TMT;Zahnriemen HTD3M-10-171;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11721;6,23223E+12;6232229184061;V002-TMT;Zahnriemen HTD3M-15-168;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11720;6,23089E+12;6230885878157;V002-TMT;Zahnriemen HTD3M-10-168;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11719;6,23441E+12;6234411036400;V002-TMT;Zahnriemen HTD3M-15-165;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11718;6,23416E+12;6234156635135;V002-TMT;Zahnriemen HTD3M-10-165;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11717;6,2326E+12;6232602502475;V002-TMT;Zahnriemen HTD3M-15-162;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11716;6,23897E+12;6238968409243;V002-TMT;Zahnriemen HTD3M-15-159;;3,3;Y;0;0;1;10;90;80;15;Y;Y;N;0,01;9;8;1,5;4010390090
11715;6,23721E+12;6237207603480;V002-TMT;Zahnriemen HTD3M-10-159;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11714;6,23509E+12;6235085162112;V002-TMT;Zahnriemen HTD3M-10-156;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11713;6,23188E+12;6231877931607;V002-TMT;Zahnriemen HTD3M-10-153;;2,55;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11712;6,23068E+12;6230680374601;V002-TMT;Zahnriemen HTD3M-6-153;;1,74;Y;0;0;1;0;90;80;6;Y;Y;N;0;9;8;0,6;4010390090
11711;6,2308E+12;6230804730009;V002-TMT;Zahnriemen HTD3M-6-150;;1,74;Y;0;0;1;0;90;80;6;Y;Y;N;0;9;8;0,6;4010390090
11710;6,23548E+12;6235481884724;V002-TMT;Zahnriemen HTD3M-6-147;;1,74;Y;0;0;1;0;90;80;6;Y;Y;N;0;9;8;0,6;4010390090
11709;6,23613E+12;6236128940421;V002-TMT;Zahnriemen HTD3M-6-144;;1,74;Y;0;0;1;0;90;80;6;Y;Y;N;0;9;8;0,6;4010390090
11708;6,23984E+12;6239844027100;V002-TMT;Zahnriemen HTD3M-15-81;;3,34;Y;0;0;1;0;90;80;15;Y;Y;N;0;9;8;1,5;4010390090
11707;6,23901E+12;6239007951389;V002-TMT;Zahnriemen HTD3M-10-81;;2,65;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11706;6,23694E+12;6236942853204;V002-TMT;Zahnriemen HTD3M-15-60;;5,69;Y;0;0;1;0;90;80;15;Y;Y;N;0;9;8;1,5;4010390090
11705;6,2333E+12;6233300407529;V002-TMT;Zahnriemen HTD3M-10-60;;4,43;Y;0;0;1;0;90;80;10;Y;Y;N;0;9;8;1;4010390090
11704;6,23565E+12;6235645979273;V002-TMT;Zahnriemen HTD3M-10-540;;4,12;Y;0;0;1;10;90;80;10;Y;Y;N;0,01;9;8;1;4010390090
